"County","Sector","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","Total Usage"
"SAN BENITO","Residential","     150.131121","     142.137978","     144.833394","     129.679866","     123.724918","     123.385181","     118.813600","     118.002713","     115.663778","     119.822746","     117.979513","     116.334161","     116.641171","     117.414629","     117.511799","     119.248949","     118.459171","     115.985414","     117.395856","     114.334110","     111.073441","     105.789143","     109.680197","    2784.042849"
"SAN BENITO","Total","     398.843582","     386.347025","     379.457134","     371.037122","     378.910886","     377.950082","     381.194706","     367.285542","     356.067522","     357.725238","     332.951281","     315.487198","     308.617532","     316.013353","     315.855785","     322.765591","     317.545851","     305.040755","     311.898070","     298.446920","     315.861713","     316.877641","     291.073185","    7823.253714"
"SAN BERNARDINO","Non-Residential","   10327.755820","   10137.255897","    9797.575011","    9926.183260","   10158.958013","   10068.393502","    9935.333655","    9753.892696","    9924.611709","    9627.037642","    9534.652774","    8973.855710","    8845.375603","    8950.400105","    9874.365745","   10001.653848","    9639.692554","    9463.292412","    9281.295320","    8897.174748","    8827.110108","    7447.941273","    8901.546372","  218295.353777"
"SAN BERNARDINO","Residential","    6301.858375","    6031.580795","    6112.195914","    5332.807265","    5166.839880","    5168.269909","    4966.459776","    4930.998541","    4755.800291","    4688.303010","    4773.309168","    4717.822006","    4600.985258","    4797.299633","    4913.811803","    4785.955418","    4977.804448","    5242.224903","    5044.687569","    4251.133125","    3817.763170","    3717.438413","    3950.487977","  113045.836647"
"SAN BERNARDINO","Total","   16629.614195","   16168.836692","   15909.770925","   15258.990525","   15325.797893","   15236.663411","   14901.793431","   14684.891237","   14680.412000","   14315.340652","   14307.961941","   13691.677716","   13446.360861","   13747.699739","   14788.177548","   14787.609265","   14617.497001","   14705.517316","   14325.982889","   13148.307872","   12644.873278","   11165.379687","   12852.034349","  331341.190423"
"SAN DIEGO","Non-Residential","   12802.545160","   12353.416157","   11722.882508","   12453.450012","   12793.962295","   12608.982609","   12808.962889","   12883.382536","   12903.058095","   12640.537766","   12478.860246","   12263.675618","   12337.887255","   12616.066215","   12911.135965","   12701.044111","   12559.810623","   12001.514693","   12017.993290","   11435.346832","   11083.705409","   10838.441898","   12068.450830","  283285.113012"
"SAN DIEGO","Residential","    7440.356338","    7132.119555","    7398.513420","    6587.433246","    6719.539029","    6751.626817","    6687.843603","    6835.100866","    6833.124196","    6782.711051","    6891.398408","    6692.379725","    6628.546666","    6792.151366","    6917.552971","    6752.155162","    6718.482671","    6328.222467","    6331.299612","    6043.546842","    5677.922852","    5494.546706","    5853.188395","  152289.761964"
"SAN DIEGO","Total","   20242.901498","   19485.535712","   19121.395927","   19040.883258","   19513.501324","   19360.609426","   19496.806491","   19718.483401","   19736.182291","   19423.248817","   19370.258654","   18956.055343","   18966.433921","   19408.217580","   19828.688935","   19453.199272","   19278.293294","   18329.737160","   18349.292902","   17478.893674","   16761.628261","   16332.988604","   17921.639225","  435574.874970"
"SAN FRANCISCO","Non-Residential","    3605.703411","    3442.453431","    3466.340342","    4153.449659","    4174.173902","    4249.488076","    4291.657425","    4354.083259","    4390.210193","    4370.067167","    4347.535935","    4362.646692","    4222.399149","    4143.038183","    4227.384315","    4140.270978","    3826.947453","    3911.564555","    3686.003253","    3615.177323","    3687.770143","    3660.861684","    3867.522578","   92196.749106"
"SAN FRANCISCO","Residential","    1514.882206","    1547.697139","    1565.691020","    1477.894930","    1452.458022","    1470.656485","    1455.425945","    1431.468469","    1437.825958","    1502.480075","    1512.173693","    1524.371152","    1518.165568","    1501.412074","    1484.360703","    1467.471338","    1491.039004","    1444.378889","    1381.184915","    1363.715748","    1365.733319","    1345.605140","    1414.770120","   33670.861912"
"SAN FRANCISCO","Total","    5120.585617","    4990.150570","    5032.031362","    5631.344589","    5626.631924","    5720.144562","    5747.083369","    5785.551728","    5828.036150","    5872.547242","    5859.709628","    5887.017844","    5740.564717","    5644.450257","    5711.745018","    5607.742317","    5317.986457","    5355.943444","    5067.188168","    4978.893071","    5053.503462","    5006.466824","    5282.292698","  125867.611018"
"SAN JOAQUIN","Non-Residential","    3680.678009","    3443.134121","    3576.846695","    3695.335936","    3809.631910","    3754.001342","    3682.738901","    3404.482176","    3453.172008","    3791.431028","    3583.865385","    3547.012791","    3501.448830","    3582.983519","    3601.066532","    3740.002959","    4057.454074","    4075.680137","    3766.078706","    3334.659445","    3730.531070","    3688.765079","    3705.511869","   84206.512522"
"SAN JOAQUIN","Residential","    2090.602041","    2079.008072","    2098.085754","    1853.982640","    1806.790014","    1860.334346","    1752.756823","    1740.564559","    1762.179500","    1738.216317","    1751.866040","    1706.812373","    1683.769270","    1726.127082","    1706.381743","    1700.575470","    1715.333017","    1651.854559","    1631.609847","    1575.083561","    1474.046734","    1410.461687","    1461.393055","   39977.834504"
"SAN JOAQUIN","Total","    5771.280050","    5522.142193","    5674.932449","    5549.318577","    5616.421924","    5614.335689","    5435.495723","    5145.046735","    5215.351507","    5529.647345","    5335.731424","    5253.825163","    5185.218099","    5309.110601","    5307.448275","    5440.578429","    5772.787091","    5727.534697","    5397.688554","    4909.743006","    5204.577804","    5099.226766","    5166.904923","  124184.347024"
"SAN LUIS OBISPO","Non-Residential","    1035.849723","    1012.406689","     989.500196","    1062.486643","    1116.543303","    1111.739046","    1093.812606","    1069.261380","    1083.930892","    1090.270659","    1049.640467","    1017.143940","     999.213128","    1023.532145","    1053.051468","    1081.142490","     907.866898","     919.418046","     948.527611","     926.231289","     921.316703","     858.616927","     824.821918","   23196.324167"
